"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","GOOGL.Date","Company.Name"
"3940",1239.969971,1275.75,1228.540039,1265.22998,3167900,1265.22998,"2020-04-14","GOOGLE"
"3941",1246.51001,1275.109985,1234,1257.300049,2111800,1257.300049,"2020-04-15","GOOGLE"
"3942",1267.140015,1273.359985,1238.199951,1257.430054,2894800,1257.430054,"2020-04-16","GOOGLE"
"3943",1281.699951,1290,1266,1279,2552500,1279,"2020-04-17","GOOGLE"
"3944",1269.890015,1276.819946,1256.439941,1261.150024,1764600,1261.150024,"2020-04-20","GOOGLE"
"3945",1242.709961,1250,1205,1212.160034,2482400,1212.160034,"2020-04-21","GOOGLE"
"3946",1241.109985,1279.880005,1237.199951,1258.410034,2314800,1258.410034,"2020-04-22","GOOGLE"
"3947",1265.73999,1288.150024,1260.530029,1271.170044,1710100,1271.170044,"2020-04-23","GOOGLE"
"3948",1255,1277.709961,1244,1276.599976,1870100,1276.599976,"2020-04-24","GOOGLE"
"3949",1292,1294.099976,1265.060059,1270.859985,2209300,1270.859985,"2020-04-27","GOOGLE"
"3950",1283.199951,1284.76001,1230.380005,1232.589966,4035000,1232.589966,"2020-04-28","GOOGLE"
"3951",1345,1360.150024,1326.72998,1342.180054,5417900,1342.180054,"2020-04-29","GOOGLE"
"3952",1331.359985,1350,1321.5,1346.699951,2792100,1346.699951,"2020-04-30","GOOGLE"
"3953",1324.089966,1351.430054,1309.660034,1317.319946,2443600,1317.319946,"2020-05-01","GOOGLE"
"3954",1308.130005,1324.469971,1296.01001,1322.900024,1540300,1322.900024,"2020-05-04","GOOGLE"
"3955",1337.5,1371.01001,1335.030029,1349.02002,1983300,1349.02002,"2020-05-05","GOOGLE"
"3956",1358,1368.689941,1345.130005,1345.430054,1586600,1345.430054,"2020-05-06","GOOGLE"
"3957",1361.310059,1376,1352.540039,1369.280029,1532600,1369.280029,"2020-05-07","GOOGLE"
"3958",1381.819946,1396.640015,1372.01001,1384.339966,1666300,1384.339966,"2020-05-08","GOOGLE"
"3959",1376.790039,1415.530029,1375.5,1403.589966,1635900,1403.589966,"2020-05-11","GOOGLE"
"3960",1408.219971,1414.329956,1374.51001,1375.180054,1695900,1375.180054,"2020-05-12","GOOGLE"
"3961",1376.160034,1385.329956,1328.01001,1348.329956,2018400,1348.329956,"2020-05-13","GOOGLE"
"3962",1333.52002,1357.369995,1323.300049,1356.859985,1833000,1356.859985,"2020-05-14","GOOGLE"
"3963",1348.26001,1374.579956,1339,1373.060059,2077200,1373.060059,"2020-05-15","GOOGLE"
"3964",1361.579956,1392.76001,1354.199951,1385.180054,2354700,1385.180054,"2020-05-18","GOOGLE"
"3965",1385.47998,1392.48999,1373.76001,1374.400024,1579300,1374.400024,"2020-05-19","GOOGLE"
"3966",1389.160034,1412.030029,1387.420044,1409.160034,1913100,1409.160034,"2020-05-20","GOOGLE"
"3967",1410.98999,1416.459961,1394.390015,1406.75,1544700,1406.75,"2020-05-21","GOOGLE"
"3968",1403.900024,1417,1395.949951,1413.23999,1427200,1413.23999,"2020-05-22","GOOGLE"
"3969",1441.959961,1445.109985,1419.400024,1421.369995,2229500,1421.369995,"2020-05-26","GOOGLE"
"3970",1420,1425.349976,1394.599976,1420.280029,1584200,1420.280029,"2020-05-27","GOOGLE"
"3971",1400,1444.459961,1399.079956,1418.23999,1758500,1418.23999,"2020-05-28","GOOGLE"
"3972",1420.430054,1436.72998,1415.97998,1433.52002,1852200,1433.52002,"2020-05-29","GOOGLE"
"3973",1425.699951,1441.579956,1422.280029,1434.869995,1258100,1434.869995,"2020-06-01","GOOGLE"
"3974",1435,1443,1421.609985,1442.310059,1172100,1442.310059,"2020-06-02","GOOGLE"
"3975",1442.699951,1449.01001,1431.619995,1439.25,1386600,1439.25,"2020-06-03","GOOGLE"
"3976",1436.780029,1441.319946,1406.01001,1414.300049,1349100,1414.300049,"2020-06-04","GOOGLE"
"3977",1415.640015,1446.300049,1407.619995,1440.02002,2132100,1440.02002,"2020-06-05","GOOGLE"
"3978",1426.280029,1449,1424.47998,1448.040039,1693900,1448.040039,"2020-06-08","GOOGLE"
"3979",1445.23999,1467.800049,1442.359985,1452.079956,1681200,1452.079956,"2020-06-09","GOOGLE"
"3980",1461.51001,1472.77002,1454.359985,1464.699951,1588100,1464.699951,"2020-06-10","GOOGLE"
"3981",1441.030029,1451.599976,1398.410034,1401.900024,2357200,1401.900024,"2020-06-11","GOOGLE"
"3982",1425.859985,1434.51001,1385.800049,1412.920044,1833800,1412.920044,"2020-06-12","GOOGLE"
"3983",1389.48999,1425,1387.199951,1420.73999,1523400,1420.73999,"2020-06-15","GOOGLE"
"3984",1449,1457.170044,1428.98999,1446.469971,1532400,1446.469971,"2020-06-16","GOOGLE"
"3985",1452.939941,1462.199951,1435.130005,1452.540039,1530500,1452.540039,"2020-06-17","GOOGLE"
"3986",1449.849976,1452.969971,1426.23999,1434.119995,1743100,1434.119995,"2020-06-18","GOOGLE"
"3987",1440,1444.5,1419,1424.640015,2639200,1424.640015,"2020-06-19","GOOGLE"
"3988",1425.01001,1450.949951,1419.189941,1450.660034,1472100,1450.660034,"2020-06-22","GOOGLE"
"3989",1452,1475.199951,1445,1463.97998,1887600,1463.97998,"2020-06-23","GOOGLE"
"3990",1463.280029,1475.790039,1430,1432.699951,1579600,1432.699951,"2020-06-24","GOOGLE"
"3991",1431.219971,1442.319946,1419.540039,1441.099976,1197900,1441.099976,"2020-06-25","GOOGLE"
"3992",1432.630005,1437.02002,1355,1362.540039,4882000,1362.540039,"2020-06-26","GOOGLE"
"3993",1360.339966,1398,1351.650024,1397.170044,2253700,1397.170044,"2020-06-29","GOOGLE"
"3994",1396.880005,1424,1386.930054,1418.050049,2014300,1418.050049,"2020-06-30","GOOGLE"
"3995",1419.170044,1448.47998,1414.180054,1442,2109100,1442,"2020-07-01","GOOGLE"
"3996",1451.839966,1488.52002,1451.069946,1469.930054,2860900,1469.930054,"2020-07-02","GOOGLE"
"3997",1488.150024,1510,1476.97998,1499.650024,2235600,1499.650024,"2020-07-06","GOOGLE"
"3998",1496.130005,1521.319946,1489.699951,1489.920044,2118200,1489.920044,"2020-07-07","GOOGLE"
"3999",1500.800049,1511.170044,1492.300049,1503.599976,1588300,1503.599976,"2020-07-08","GOOGLE"
"4000",1509.930054,1529.140015,1495.589966,1518.660034,2091800,1518.660034,"2020-07-09","GOOGLE"
"4001",1513.25,1541.339966,1500.719971,1539.01001,1795900,1539.01001,"2020-07-10","GOOGLE"
"4002",1549.939941,1576.359985,1506.560059,1512.22998,2147700,1512.22998,"2020-07-13","GOOGLE"
"4003",1492.790039,1522.800049,1485.930054,1520.859985,1905400,1520.859985,"2020-07-14","GOOGLE"
"4004",1523.22998,1536.329956,1497.829956,1516.880005,1551300,1516.880005,"2020-07-15","GOOGLE"
"4005",1501.5,1515.910034,1488.27002,1514.920044,1324200,1514.920044,"2020-07-16","GOOGLE"
"4006",1516.910034,1523.430054,1498.099976,1516.849976,1713200,1516.849976,"2020-07-17","GOOGLE"
"4007",1515,1569.01001,1502.699951,1563.839966,1508300,1563.839966,"2020-07-20","GOOGLE"
"4008",1585.030029,1587.050049,1552.619995,1555.920044,1374300,1555.920044,"2020-07-21","GOOGLE"
"4009",1555.709961,1566.97998,1543.22998,1564.849976,1224100,1564.849976,"2020-07-22","GOOGLE"
"4010",1565.930054,1570.349976,1508.589966,1516.75,1695500,1516.75,"2020-07-23","GOOGLE"
"4011",1499.189941,1515.430054,1487.589966,1508.209961,1495100,1508.209961,"2020-07-24","GOOGLE"
"4012",1513.26001,1537.560059,1512.329956,1529.430054,1356200,1529.430054,"2020-07-27","GOOGLE"
