"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","AAPL.Date","Company.Name"
"4624",46.797501,46.952499,46.532501,46.577499,73190800,44.96722,"2018-05-18","APPLE"
"4625",47,47.317501,46.727501,46.907501,73603200,45.285812,"2018-05-21","APPLE"
"4626",47.095001,47.220001,46.695,46.790001,60962800,45.172379,"2018-05-22","APPLE"
"4627",46.587502,47.125,46.439999,47.09,80233600,45.462006,"2018-05-23","APPLE"
"4628",47.192501,47.209999,46.552502,47.037498,92936000,45.41132,"2018-05-24","APPLE"
"4629",47.057499,47.412498,46.912498,47.145,69844000,45.515102,"2018-05-25","APPLE"
"4630",46.900002,47.1875,46.717499,46.974998,90056400,45.350983,"2018-05-29","APPLE"
"4631",46.93,47,46.695,46.875,74762000,45.254433,"2018-05-30","APPLE"
"4632",46.805,47.057499,46.535,46.717499,109931200,45.102383,"2018-05-31","APPLE"
"4633",46.997501,47.564999,46.9375,47.560001,93770000,45.915756,"2018-06-01","APPLE"
"4634",47.91,48.355,47.837502,47.9575,105064800,46.299511,"2018-06-04","APPLE"
"4635",48.267502,48.485001,48.09,48.327499,86264000,46.656715,"2018-06-05","APPLE"
"4636",48.407501,48.52,47.98,48.494999,83734400,46.818432,"2018-06-06","APPLE"
"4637",48.535,48.549999,48.084999,48.365002,85388800,46.692936,"2018-06-07","APPLE"
"4638",47.7925,48,47.442501,47.924999,106627200,46.268143,"2018-06-08","APPLE"
"4639",47.837502,47.9925,47.552502,47.807499,73234000,46.154694,"2018-06-11","APPLE"
"4640",47.8475,48.1525,47.787498,48.07,67644400,46.408119,"2018-06-12","APPLE"
"4641",48.105,48.220001,47.610001,47.674999,86553600,46.026775,"2018-06-13","APPLE"
"4642",47.887501,47.892502,47.555,47.700001,86440400,46.050911,"2018-06-14","APPLE"
"4643",47.5075,47.540001,47.064999,47.209999,246876800,45.577854,"2018-06-15","APPLE"
"4644",46.970001,47.305,46.799999,47.185001,73939600,45.553722,"2018-06-18","APPLE"
"4645",46.285,46.5825,45.862499,46.422501,134314000,44.817581,"2018-06-19","APPLE"
"4646",46.587502,46.799999,46.432499,46.625,82514800,45.013084,"2018-06-20","APPLE"
"4647",46.8125,47.087502,46.235001,46.365002,102847600,44.76207,"2018-06-21","APPLE"
"4648",46.529999,46.537498,46.174999,46.23,108801600,44.631737,"2018-06-22","APPLE"
"4649",45.849998,46.23,45.182499,45.5425,126652400,43.968002,"2018-06-25","APPLE"
"4650",45.747501,46.6325,45.634998,46.107498,98276800,44.513466,"2018-06-26","APPLE"
"4651",46.307499,46.82,46.0075,46.040001,101141200,44.448303,"2018-06-27","APPLE"
"4652",46.025002,46.552502,45.950001,46.375,69460800,44.771717,"2018-06-28","APPLE"
"4653",46.572498,46.797501,45.727501,46.2775,90950800,44.677593,"2018-06-29","APPLE"
